Fri May  7 20:32:00 2021, 1620390720, 51.81.35.164, 192.168.43.178, 34528, 23193, ACK, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.43.178, 51.81.35.164, 23193, 34528, ACK, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 51.81.35.164, 192.168.43.178, 34528, 23193, ACK, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.43.178, 51.81.35.164, 23193, 34528, ACK, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 40415, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 55753, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 50109, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 9124, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 6605, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 54727, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 58834, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 56786, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 48617, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 28039, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 12778, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 29145, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 21472, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 7117, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 26016, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 24974, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 6578, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 57306, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 32685, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 46521, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 44523, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 9600, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 54173, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 34688, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 44987, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 2443, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 24460, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 12727, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 4589, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 49128, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 22509, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 48592, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 57228, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 36828, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 398, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 46519, SYN, TCP, 4
