time,event,bandwidth
2022/04/09 00:03,0,12
2022/04/09 00:04,0,12
2022/04/09 00:06,0,11
2022/04/09 00:08,0,11
2022/04/09 00:10,0,9
2022/04/09 00:11,0,12
2022/04/09 00:11,0,13
2022/04/09 00:12,0,8
2022/04/09 00:13,0,12
2022/04/09 00:13,0,13
2022/04/09 00:15,0,12
2022/04/09 00:18,0,10
2022/04/09 00:23,0,13
2022/04/09 00:23,0,12
2022/04/09 00:25,0,11
2022/04/09 00:26,0,9
2022/04/09 00:26,0,14
2022/04/09 00:27,0,11
2022/04/09 00:29,0,12
2022/04/09 00:32,0,15
2022/04/09 00:33,0,12
2022/04/09 00:34,0,12
2022/04/09 00:35,0,13
2022/04/09 00:36,0,9
2022/04/09 00:36,0,11
2022/04/09 00:39,0,12
2022/04/09 00:39,0,10
2022/04/09 00:40,0,12
2022/04/09 00:40,0,11
2022/04/09 00:41,0,8
2022/04/09 00:41,0,13
2022/04/09 00:45,0,14
2022/04/09 00:50,0,13
2022/04/09 00:56,0,12
2022/04/09 00:57,0,11
2022/04/09 00:57,0,10
2022/04/09 00:59,0,12
2022/04/09 00:59,0,10
2022/04/09 01:00,0,10
2022/04/09 01:00,0,10
2022/04/09 01:00,0,10
2022/04/09 01:01,0,15
2022/04/09 01:02,0,9
2022/04/09 01:04,0,12
2022/04/09 01:05,0,10
2022/04/09 01:05,0,14
2022/04/09 01:05,0,15
2022/04/09 01:06,0,12
2022/04/09 01:07,0,13
2022/04/09 01:08,0,12
2022/04/09 01:10,0,12
2022/04/09 01:10,0,14
2022/04/09 01:11,0,12
2022/04/09 01:11,0,12
2022/04/09 01:12,0,10
2022/04/09 01:12,0,12
2022/04/09 01:15,0,15
2022/04/09 01:16,0,13
2022/04/09 01:19,0,15
2022/04/09 01:19,0,10
2022/04/09 01:19,0,12
2022/04/09 01:22,0,12
2022/04/09 01:22,0,13
2022/04/09 01:23,0,15
2022/04/09 01:24,0,11
2022/04/09 01:24,0,11
2022/04/09 01:24,0,9
2022/04/09 01:28,0,9
2022/04/09 01:28,0,9
2022/04/09 01:29,0,12
2022/04/09 01:31,0,12
2022/04/09 01:32,0,12
2022/04/09 01:33,0,11
2022/04/09 01:38,0,12
2022/04/09 01:39,0,8
2022/04/09 01:39,0,12
2022/04/09 01:39,0,9
2022/04/09 01:42,0,14
2022/04/09 01:42,0,12
2022/04/09 01:42,0,10
2022/04/09 01:43,0,10
2022/04/09 01:43,0,9
2022/04/09 01:45,0,11
2022/04/09 01:46,0,14
2022/04/09 01:47,0,13
2022/04/09 01:47,0,14
2022/04/09 01:47,0,12
2022/04/09 01:48,0,9
2022/04/09 01:48,0,9
2022/04/09 01:48,0,8
2022/04/09 01:54,0,11
2022/04/09 01:54,0,11
2022/04/09 01:55,0,15
2022/04/09 01:55,0,8
2022/04/09 01:56,0,8
2022/04/09 01:58,0,14
2022/04/09 02:00,0,13
2022/04/09 02:02,0,12
2022/04/09 02:02,0,11
2022/04/09 02:02,0,12
2022/04/09 02:04,0,8
2022/04/09 02:04,0,9
2022/04/09 02:04,0,9
2022/04/09 02:05,0,9
2022/04/09 02:07,0,12
2022/04/09 02:07,0,9
2022/04/09 02:08,0,14
2022/04/09 02:10,0,15
2022/04/09 02:11,0,8
2022/04/09 02:13,0,9
2022/04/09 02:13,0,14
2022/04/09 02:13,0,12
2022/04/09 02:14,0,9
2022/04/09 02:18,0,9
2022/04/09 02:20,0,8
2022/04/09 02:20,0,15
2022/04/09 02:25,0,12
2022/04/09 02:25,0,12
2022/04/09 02:26,0,10
2022/04/09 02:27,0,8
2022/04/09 02:27,0,12
2022/04/09 02:28,0,10
2022/04/09 02:29,0,12
2022/04/09 02:30,0,12
2022/04/09 02:30,0,8
2022/04/09 02:31,0,9
2022/04/09 02:31,0,13
2022/04/09 02:32,0,12
2022/04/09 02:33,0,10
2022/04/09 02:34,0,11
2022/04/09 02:35,0,10
2022/04/09 02:35,0,9
2022/04/09 02:35,0,10
2022/04/09 02:37,0,12
2022/04/09 02:38,0,14
2022/04/09 02:39,0,14
2022/04/09 02:41,0,15
2022/04/09 02:42,0,9
2022/04/09 02:43,0,8
2022/04/09 02:44,0,12
2022/04/09 02:45,0,12
2022/04/09 02:45,0,14
2022/04/09 02:46,0,13
2022/04/09 02:47,0,11
2022/04/09 02:47,0,12
2022/04/09 02:48,0,15
2022/04/09 02:48,0,11
2022/04/09 02:49,0,14
2022/04/09 02:50,0,10
2022/04/09 02:51,0,13
2022/04/09 02:52,0,14
2022/04/09 02:53,0,13
2022/04/09 02:54,0,11
2022/04/09 02:55,0,14
2022/04/09 02:55,0,14
2022/04/09 02:55,0,12
2022/04/09 02:56,0,9
2022/04/09 02:56,0,11
2022/04/09 02:58,0,10
2022/04/09 03:01,0,12
2022/04/09 03:02,0,8
2022/04/09 03:03,0,11
2022/04/09 03:04,0,14
2022/04/09 03:04,0,9
2022/04/09 03:05,0,13
2022/04/09 03:05,0,13
2022/04/09 03:06,0,12
2022/04/09 03:06,0,10
2022/04/09 03:06,0,10
2022/04/09 03:06,0,9
2022/04/09 03:07,0,15
2022/04/09 03:07,0,15
2022/04/09 03:08,0,12
2022/04/09 03:09,0,11
2022/04/09 03:09,0,10
2022/04/09 03:11,0,13
2022/04/09 03:12,0,13
2022/04/09 03:15,0,11
2022/04/09 03:17,0,10
2022/04/09 03:20,0,15
2022/04/09 03:23,0,10
2022/04/09 03:24,0,12
2022/04/09 03:25,0,12
2022/04/09 03:25,0,12
2022/04/09 03:25,0,10
2022/04/09 03:25,0,12
2022/04/09 03:26,0,12
2022/04/09 03:26,0,13
2022/04/09 03:27,0,12
2022/04/09 03:27,0,12
2022/04/09 03:27,0,15
2022/04/09 03:28,0,15
2022/04/09 03:29,0,15
2022/04/09 03:33,0,12
2022/04/09 03:33,0,14
2022/04/09 03:35,0,9
2022/04/09 03:35,0,10
2022/04/09 03:38,0,9
2022/04/09 03:39,0,8
2022/04/09 03:43,0,9
2022/04/09 03:47,0,12
2022/04/09 03:47,0,8
2022/04/09 03:48,0,9
2022/04/09 03:49,0,12
2022/04/09 03:50,0,10
2022/04/09 03:51,0,14
2022/04/09 03:51,0,10
2022/04/09 03:51,0,13
2022/04/09 03:53,0,12
2022/04/09 03:54,0,10
2022/04/09 03:55,0,11
2022/04/09 03:57,0,10
2022/04/09 03:57,0,12
2022/04/09 03:57,0,12
2022/04/09 04:01,0,15
2022/04/09 04:03,0,13
2022/04/09 04:04,0,10
2022/04/09 04:07,0,12
2022/04/09 04:07,0,10
2022/04/09 04:08,0,13
2022/04/09 04:10,0,12
2022/04/09 04:11,0,14
2022/04/09 04:12,0,11
2022/04/09 04:12,0,12
2022/04/09 04:14,0,12
2022/04/09 04:17,0,9
2022/04/09 04:17,0,10
2022/04/09 04:19,0,10
2022/04/09 04:23,0,14
2022/04/09 04:23,0,13
2022/04/09 04:24,0,8
2022/04/09 04:24,0,10
2022/04/09 04:25,0,11
2022/04/09 04:26,0,10
2022/04/09 04:28,0,10
2022/04/09 04:28,0,14
2022/04/09 04:29,0,12
2022/04/09 04:29,0,13
2022/04/09 04:31,0,10
2022/04/09 04:32,0,9
2022/04/09 04:33,0,14
2022/04/09 04:34,0,14
2022/04/09 04:35,0,15
2022/04/09 04:35,0,10
2022/04/09 04:35,0,12
2022/04/09 04:38,0,11
2022/04/09 04:38,0,8
2022/04/09 04:38,0,11
2022/04/09 04:38,0,9
2022/04/09 04:40,0,10
2022/04/09 04:40,0,9
2022/04/09 04:40,0,14
2022/04/09 04:41,0,10
2022/04/09 04:41,0,11
2022/04/09 04:42,0,12
2022/04/09 04:42,0,10
2022/04/09 04:46,0,12
2022/04/09 04:46,0,14
2022/04/09 04:48,0,15
2022/04/09 04:50,0,9
2022/04/09 04:51,0,14
2022/04/09 04:51,0,10
2022/04/09 04:54,0,12
2022/04/09 04:58,0,11
2022/04/09 04:59,0,13
2022/04/09 04:59,0,15
2022/04/09 05:00,0,12
2022/04/09 05:01,0,13
2022/04/09 05:02,0,16
2022/04/09 05:02,0,12
2022/04/09 05:05,0,12
2022/04/09 05:06,0,12
2022/04/09 05:06,0,12
2022/04/09 05:07,0,12
2022/04/09 05:08,0,16
2022/04/09 05:11,0,12
2022/04/09 05:11,0,12
2022/04/09 05:14,0,12
2022/04/09 05:17,0,11
2022/04/09 05:19,0,16
2022/04/09 05:19,0,10
2022/04/09 05:21,0,15
2022/04/09 05:21,0,12
2022/04/09 05:24,0,10
2022/04/09 05:24,0,14
2022/04/09 05:25,0,11
2022/04/09 05:26,0,15
2022/04/09 05:27,0,15
2022/04/09 05:27,0,11
2022/04/09 05:29,0,12
2022/04/09 05:30,0,14
2022/04/09 05:31,0,12
2022/04/09 05:32,0,11
2022/04/09 05:32,0,13
2022/04/09 05:34,0,9
2022/04/09 05:34,0,11
2022/04/09 05:35,0,12
2022/04/09 05:41,0,11
2022/04/09 05:41,0,13
2022/04/09 05:42,0,14
2022/04/09 05:44,0,14
2022/04/09 05:44,0,11
2022/04/09 05:45,0,9
2022/04/09 05:46,0,12
2022/04/09 05:49,0,12
2022/04/09 05:51,0,11
2022/04/09 05:53,0,12
2022/04/09 05:53,0,14
2022/04/09 05:53,0,15
2022/04/09 05:54,0,11
2022/04/09 05:56,0,14
2022/04/09 05:56,0,10
2022/04/09 06:00,0,16
2022/04/09 06:00,0,10
2022/04/09 06:01,0,15
2022/04/09 06:01,0,15
2022/04/09 06:01,0,12
2022/04/09 06:02,0,12
2022/04/09 06:04,0,11
2022/04/09 06:05,0,12
2022/04/09 06:07,0,10
2022/04/09 06:09,0,11
2022/04/09 06:11,0,10
2022/04/09 06:12,0,10
2022/04/09 06:13,0,12
2022/04/09 06:16,0,15
2022/04/09 06:17,0,15
2022/04/09 06:17,0,15
2022/04/09 06:17,0,16
2022/04/09 06:19,0,12
2022/04/09 06:24,0,11
2022/04/09 06:24,0,13
2022/04/09 06:26,0,11
2022/04/09 06:27,0,12
2022/04/09 06:27,0,11
2022/04/09 06:29,0,15
2022/04/09 06:32,0,16
2022/04/09 06:34,0,16
2022/04/09 06:34,0,11
2022/04/09 06:35,0,12
2022/04/09 06:35,0,12
2022/04/09 06:37,0,10
2022/04/09 06:37,0,10
2022/04/09 06:38,0,15
2022/04/09 06:38,0,11
2022/04/09 06:38,0,13
2022/04/09 06:39,0,13
2022/04/09 06:39,0,15
2022/04/09 06:41,0,13
2022/04/09 06:42,0,13
2022/04/09 06:44,0,15
2022/04/09 06:46,0,16
2022/04/09 06:46,0,10
2022/04/09 06:47,0,15
2022/04/09 06:48,0,15
2022/04/09 06:49,0,12
2022/04/09 06:51,0,15
2022/04/09 06:52,0,16
2022/04/09 06:52,0,12
2022/04/09 06:54,0,14
2022/04/09 06:54,0,13
2022/04/09 06:55,0,12
2022/04/09 06:55,0,12
2022/04/09 06:56,0,15
2022/04/09 06:58,0,9
2022/04/09 06:59,0,12
2022/04/09 07:01,0,15
2022/04/09 07:01,0,12
2022/04/09 07:02,0,12
2022/04/09 07:02,0,14
2022/04/09 07:03,0,10
2022/04/09 07:03,0,12
2022/04/09 07:04,0,16
2022/04/09 07:05,0,10
2022/04/09 07:05,0,12
2022/04/09 07:05,0,11
2022/04/09 07:06,0,14
2022/04/09 07:07,0,12
2022/04/09 07:08,0,10
2022/04/09 07:09,0,14
2022/04/09 07:09,0,12
2022/04/09 07:13,0,12
2022/04/09 07:15,0,10
2022/04/09 07:17,0,16
2022/04/09 07:17,0,15
2022/04/09 07:17,0,15
2022/04/09 07:18,0,14
2022/04/09 07:18,0,13
2022/04/09 07:20,0,12
2022/04/09 07:20,0,9
2022/04/09 07:23,0,11
2022/04/09 07:23,0,13
2022/04/09 07:25,0,12
2022/04/09 07:26,0,12
2022/04/09 07:27,0,12
2022/04/09 07:28,0,12
2022/04/09 07:28,0,12
2022/04/09 07:29,0,14
2022/04/09 07:34,0,10
2022/04/09 07:34,0,16
2022/04/09 07:35,0,14
2022/04/09 07:37,0,10
2022/04/09 07:39,0,11
2022/04/09 07:39,0,14
2022/04/09 07:43,0,10
2022/04/09 07:44,0,15
2022/04/09 07:44,0,11
2022/04/09 07:46,0,10
2022/04/09 07:47,0,11
2022/04/09 07:47,0,12
2022/04/09 07:48,0,9
2022/04/09 07:50,0,10
2022/04/09 07:50,0,11
2022/04/09 07:50,0,10
2022/04/09 07:53,0,12
2022/04/09 07:54,0,9
2022/04/09 07:55,0,11
2022/04/09 07:55,0,11
2022/04/09 07:56,0,12
2022/04/09 07:56,0,12
2022/04/09 08:01,0,10
2022/04/09 08:02,0,12
2022/04/09 08:02,0,16
2022/04/09 08:03,0,11
2022/04/09 08:05,0,12
2022/04/09 08:05,0,14
2022/04/09 08:06,0,12
2022/04/09 08:08,0,12
2022/04/09 08:09,0,9
2022/04/09 08:09,0,12
2022/04/09 08:11,0,14
2022/04/09 08:11,0,10
2022/04/09 08:11,0,10
2022/04/09 08:11,0,11
2022/04/09 08:16,0,12
2022/04/09 08:16,0,11
2022/04/09 08:17,0,14
2022/04/09 08:18,0,11
2022/04/09 08:18,0,12
2022/04/09 08:18,0,10
2022/04/09 08:22,0,12
2022/04/09 08:23,0,12
2022/04/09 08:23,0,13
2022/04/09 08:23,0,12
2022/04/09 08:23,0,16
2022/04/09 08:25,0,16
2022/04/09 08:25,0,16
2022/04/09 08:27,0,9
2022/04/09 08:28,0,15
2022/04/09 08:29,0,12
2022/04/09 08:29,0,10
2022/04/09 08:30,0,9
2022/04/09 08:31,0,11
2022/04/09 08:34,0,10
2022/04/09 08:35,0,15
2022/04/09 08:35,0,9
2022/04/09 08:37,0,11
2022/04/09 08:39,0,10
2022/04/09 08:42,0,10
2022/04/09 08:45,0,10
2022/04/09 08:48,0,12
2022/04/09 08:48,0,14
2022/04/09 08:50,0,16
2022/04/09 08:51,0,12
2022/04/09 08:52,0,11
2022/04/09 08:55,0,12
2022/04/09 08:56,0,15
2022/04/09 08:58,0,12
2022/04/09 08:59,0,10
2022/04/09 09:00,0,9
2022/04/09 09:03,0,12
2022/04/09 09:04,0,9
2022/04/09 09:07,0,12
2022/04/09 09:08,0,12
2022/04/09 09:09,0,15
2022/04/09 09:09,0,16
2022/04/09 09:10,0,9
2022/04/09 09:11,0,16
2022/04/09 09:13,0,10
2022/04/09 09:14,0,10
2022/04/09 09:17,0,11
2022/04/09 09:17,0,12
2022/04/09 09:18,0,12
2022/04/09 09:20,0,10
2022/04/09 09:20,0,10
2022/04/09 09:21,0,9
2022/04/09 09:22,0,13
2022/04/09 09:22,0,12
2022/04/09 09:23,0,10
2022/04/09 09:23,0,12
2022/04/09 09:25,0,15
2022/04/09 09:25,0,9
2022/04/09 09:25,0,13
2022/04/09 09:27,0,11
2022/04/09 09:27,0,13
2022/04/09 09:27,0,13
2022/04/09 09:29,0,10
2022/04/09 09:30,0,12
2022/04/09 09:32,0,13
2022/04/09 09:33,0,10
2022/04/09 09:34,0,15
2022/04/09 09:34,0,10
2022/04/09 09:36,0,12
2022/04/09 09:39,0,10
2022/04/09 09:40,0,12
2022/04/09 09:41,0,12
2022/04/09 09:41,0,10
2022/04/09 09:43,0,10
2022/04/09 09:44,0,9
2022/04/09 09:44,0,15
2022/04/09 09:45,0,11
2022/04/09 09:45,0,11
2022/04/09 09:52,0,11
2022/04/09 09:52,0,10
2022/04/09 09:53,0,12
2022/04/09 09:54,0,15
2022/04/09 09:55,0,11
2022/04/09 09:56,0,10
2022/04/09 09:57,0,14
2022/04/09 09:58,0,10
2022/04/09 09:58,0,10
2022/04/09 10:01,0,15
2022/04/09 10:04,0,11
2022/04/09 10:06,0,10
2022/04/09 10:06,0,10
2022/04/09 10:07,0,11
2022/04/09 10:07,0,16
2022/04/09 10:08,0,16
2022/04/09 10:08,0,13
2022/04/09 10:10,0,12
2022/04/09 10:11,0,13
2022/04/09 10:12,0,12
2022/04/09 10:12,0,16
2022/04/09 10:13,0,11
2022/04/09 10:14,0,12
2022/04/09 10:15,0,11
2022/04/09 10:16,0,12
2022/04/09 10:16,0,11
2022/04/09 10:22,0,16
2022/04/09 10:22,0,12
2022/04/09 10:25,0,12
2022/04/09 10:26,0,14
2022/04/09 10:27,0,13
2022/04/09 10:27,0,10
2022/04/09 10:28,0,10
2022/04/09 10:31,0,16
2022/04/09 10:31,0,11
2022/04/09 10:32,0,11
2022/04/09 10:35,0,13
2022/04/09 10:37,0,13
2022/04/09 10:40,0,16
2022/04/09 10:41,0,11
2022/04/09 10:41,0,10
2022/04/09 10:41,0,12
2022/04/09 10:42,0,10
2022/04/09 10:42,0,16
2022/04/09 10:42,0,10
2022/04/09 10:43,0,10
2022/04/09 10:44,0,12
2022/04/09 10:45,0,10
2022/04/09 10:45,0,12
2022/04/09 10:46,0,11
2022/04/09 10:46,0,16
2022/04/09 10:48,0,12
2022/04/09 10:50,0,12
2022/04/09 10:51,0,10
2022/04/09 10:52,0,12
2022/04/09 10:52,0,11
2022/04/09 10:53,0,11
2022/04/09 10:54,0,12
2022/04/09 10:54,0,10
2022/04/09 10:56,0,15
2022/04/09 10:57,0,12
2022/04/09 10:58,0,16
2022/04/09 10:58,0,11
2022/04/09 10:59,0,11
2022/04/09 10:59,0,14
2022/04/09 11:00,0,11
2022/04/09 11:02,0,10
2022/04/09 11:02,0,12
2022/04/09 11:03,0,13
2022/04/09 11:04,0,11
2022/04/09 11:04,0,10
2022/04/09 11:06,0,13
2022/04/09 11:07,0,15
2022/04/09 11:07,0,12
2022/04/09 11:07,0,14
2022/04/09 11:08,0,10
2022/04/09 11:09,0,13
2022/04/09 11:09,0,10
2022/04/09 11:10,0,15
2022/04/09 11:10,0,12
2022/04/09 11:13,0,12
2022/04/09 11:13,0,9
2022/04/09 11:16,0,11
2022/04/09 11:16,0,10
2022/04/09 11:18,0,14
2022/04/09 11:18,0,16
2022/04/09 11:18,0,12
2022/04/09 11:19,0,10
2022/04/09 11:22,0,11
2022/04/09 11:25,0,15
2022/04/09 11:26,0,12
2022/04/09 11:28,0,11
2022/04/09 11:30,0,15
2022/04/09 11:32,0,10
2022/04/09 11:33,0,13
2022/04/09 11:33,0,10
2022/04/09 11:34,0,15
2022/04/09 11:35,0,14
2022/04/09 11:35,0,10
2022/04/09 11:35,0,12
2022/04/09 11:37,0,10
2022/04/09 11:37,0,9
2022/04/09 11:38,0,10
2022/04/09 11:39,0,11
2022/04/09 11:40,0,12
2022/04/09 11:40,0,10
2022/04/09 11:40,0,10
2022/04/09 11:40,0,11
2022/04/09 11:41,0,10
2022/04/09 11:41,0,11
2022/04/09 11:42,0,9
2022/04/09 11:43,0,16
2022/04/09 11:44,0,12
2022/04/09 11:45,0,9
2022/04/09 11:47,0,11
2022/04/09 11:48,0,16
2022/04/09 11:50,0,10
2022/04/09 11:54,0,10
2022/04/09 11:55,0,11
2022/04/09 11:55,0,14
2022/04/09 11:57,0,13
2022/04/09 11:57,0,11
2022/04/09 11:58,0,10
2022/04/09 11:59,0,10
2022/04/09 11:59,0,11
2022/04/09 12:01,0,12
2022/04/09 12:02,0,10
2022/04/09 12:03,0,12
2022/04/09 12:03,0,10
2022/04/09 12:05,0,14
2022/04/09 12:05,0,11
2022/04/09 12:07,0,14
2022/04/09 12:09,0,10
2022/04/09 12:10,0,12
2022/04/09 12:10,0,9
2022/04/09 12:14,0,11
2022/04/09 12:14,0,14
2022/04/09 12:15,0,9
2022/04/09 12:19,0,14
2022/04/09 12:20,0,11
2022/04/09 12:21,0,12
2022/04/09 12:26,0,11
2022/04/09 12:30,0,10
2022/04/09 12:30,0,11
2022/04/09 12:30,0,12
2022/04/09 12:31,0,14
2022/04/09 12:32,0,16
2022/04/09 12:33,0,14
2022/04/09 12:34,0,16
2022/04/09 12:35,0,10
2022/04/09 12:37,0,10
2022/04/09 12:37,0,12
2022/04/09 12:38,0,11
2022/04/09 12:39,0,11
2022/04/09 12:40,0,10
2022/04/09 12:43,0,14
2022/04/09 12:43,0,12
2022/04/09 12:44,0,15
2022/04/09 12:44,0,15
2022/04/09 12:45,0,10
2022/04/09 12:45,0,12
2022/04/09 12:47,0,11
2022/04/09 12:48,0,15
2022/04/09 12:50,0,12
2022/04/09 12:50,0,12
2022/04/09 12:50,0,10
2022/04/09 12:52,0,10
2022/04/09 12:53,0,10
2022/04/09 13:00,3,78
2022/04/09 13:01,3,86
2022/04/09 13:02,2,78
2022/04/09 13:02,3,78
2022/04/09 13:03,3,78
2022/04/09 13:03,3,80
2022/04/09 13:06,2,87
2022/04/09 13:06,3,86
2022/04/09 13:07,2,82
2022/04/09 13:07,3,75
2022/04/09 13:08,3,88
2022/04/09 13:09,3,89
2022/04/09 13:10,3,87
2022/04/09 13:11,3,76
2022/04/09 13:13,2,88
2022/04/09 13:15,3,85
2022/04/09 13:15,3,79
2022/04/09 13:16,2,87
2022/04/09 13:16,2,84
2022/04/09 13:19,3,85
2022/04/09 13:19,2,85
2022/04/09 13:20,3,86
2022/04/09 13:20,3,88
2022/04/09 13:23,0,11
2022/04/09 13:25,0,11
2022/04/09 13:27,0,12
2022/04/09 13:28,0,10
2022/04/09 13:28,0,12
2022/04/09 13:28,0,12
2022/04/09 13:29,0,10
2022/04/09 13:31,0,11
2022/04/09 13:32,0,15
2022/04/09 13:33,0,11
2022/04/09 13:36,0,14
2022/04/09 13:39,0,15
2022/04/09 13:39,0,13
2022/04/09 13:39,0,16
2022/04/09 13:40,0,12
2022/04/09 13:41,0,13
2022/04/09 13:42,0,11
2022/04/09 13:43,0,9
2022/04/09 13:47,0,11
2022/04/09 13:47,0,9
2022/04/09 13:49,0,16
2022/04/09 13:51,0,14
2022/04/09 13:53,0,9
2022/04/09 13:56,0,11
2022/04/09 13:57,0,16
2022/04/09 13:58,0,14
2022/04/09 14:01,0,12
2022/04/09 14:01,0,13
2022/04/09 14:02,0,11
2022/04/09 14:02,0,14
2022/04/09 14:04,0,11
2022/04/09 14:07,0,10
2022/04/09 14:08,0,14
2022/04/09 14:08,0,11
2022/04/09 14:11,0,9
2022/04/09 14:12,0,10
2022/04/09 14:12,0,12
2022/04/09 14:14,0,11
2022/04/09 14:14,0,13
2022/04/09 14:15,0,15
2022/04/09 14:16,0,16
2022/04/09 14:16,0,16
2022/04/09 14:18,0,11
2022/04/09 14:18,0,15
2022/04/09 14:20,0,15
2022/04/09 14:21,0,12
2022/04/09 14:22,0,15
2022/04/09 14:25,0,14
2022/04/09 14:26,0,14
2022/04/09 14:26,0,11
2022/04/09 14:26,0,15
2022/04/09 14:28,0,16
2022/04/09 14:29,0,10
2022/04/09 14:29,0,14
2022/04/09 14:31,0,12
2022/04/09 14:31,0,11
2022/04/09 14:32,0,12
2022/04/09 14:32,0,14
2022/04/09 14:33,0,15
2022/04/09 14:34,0,12
2022/04/09 14:34,0,15
2022/04/09 14:34,0,10
2022/04/09 14:35,0,12
2022/04/09 14:38,0,11
2022/04/09 14:38,0,15
2022/04/09 14:38,0,16
2022/04/09 14:38,0,12
2022/04/09 14:39,0,12
2022/04/09 14:39,0,15
2022/04/09 14:40,0,10
2022/04/09 14:40,0,11
2022/04/09 14:42,0,15
2022/04/09 14:44,0,14
2022/04/09 14:44,0,14
2022/04/09 14:45,0,10
2022/04/09 14:45,0,13
2022/04/09 14:45,0,12
2022/04/09 14:46,0,9
2022/04/09 14:46,0,10
2022/04/09 14:47,0,12
2022/04/09 14:51,0,12
2022/04/09 14:51,0,13
2022/04/09 14:56,0,10
2022/04/09 14:57,0,10
2022/04/09 14:57,0,13
2022/04/09 14:58,0,12
2022/04/09 15:00,0,12
2022/04/09 15:00,0,11
2022/04/09 15:02,0,10
2022/04/09 15:03,0,15
2022/04/09 15:06,0,12
2022/04/09 15:06,0,11
2022/04/09 15:07,0,15
2022/04/09 15:07,0,11
2022/04/09 15:08,0,12
2022/04/09 15:10,0,16
2022/04/09 15:10,0,11
2022/04/09 15:12,0,9
2022/04/09 15:14,0,11
2022/04/09 15:14,0,11
2022/04/09 15:16,0,15
2022/04/09 15:17,0,11
2022/04/09 15:18,0,16
2022/04/09 15:20,0,13
2022/04/09 15:21,0,11
2022/04/09 15:22,0,14
2022/04/09 15:23,0,13
2022/04/09 15:23,0,9
2022/04/09 15:24,0,15
2022/04/09 15:25,0,11
2022/04/09 15:26,0,16
2022/04/09 15:28,0,16
2022/04/09 15:28,0,12
2022/04/09 15:30,0,13
2022/04/09 15:32,0,14
2022/04/09 15:32,0,13
2022/04/09 15:32,0,9
2022/04/09 15:33,0,16
2022/04/09 15:34,0,11
2022/04/09 15:34,0,9
2022/04/09 15:36,0,14
2022/04/09 15:36,0,15
2022/04/09 15:37,0,12
2022/04/09 15:37,0,15
2022/04/09 15:38,0,12
2022/04/09 15:39,0,16
2022/04/09 15:40,0,12
2022/04/09 15:40,0,16
2022/04/09 15:43,0,9
2022/04/09 15:43,0,14
2022/04/09 15:44,0,10
2022/04/09 15:49,0,10
2022/04/09 15:49,0,10
2022/04/09 15:52,0,10
2022/04/09 15:52,0,12
2022/04/09 15:52,0,10
2022/04/09 15:53,0,15
2022/04/09 15:53,0,9
2022/04/09 15:54,0,11
2022/04/09 15:55,0,12
2022/04/09 15:56,0,12
2022/04/09 15:56,0,12
2022/04/09 15:56,0,11
2022/04/09 15:57,0,12
2022/04/09 15:57,0,11
2022/04/09 15:57,0,11
2022/04/09 15:59,0,12
2022/04/09 16:00,0,15
2022/04/09 16:00,0,12
2022/04/09 16:03,0,11
2022/04/09 16:03,0,12
2022/04/09 16:08,0,11
2022/04/09 16:08,0,15
2022/04/09 16:12,0,12
2022/04/09 16:12,0,11
2022/04/09 16:12,0,12
2022/04/09 16:12,0,16
2022/04/09 16:13,0,10
2022/04/09 16:13,0,11
2022/04/09 16:14,0,12
2022/04/09 16:14,0,10
2022/04/09 16:14,0,13
2022/04/09 16:15,0,9
2022/04/09 16:16,0,11
2022/04/09 16:17,0,12
2022/04/09 16:18,0,14
2022/04/09 16:18,0,14
2022/04/09 16:19,0,11
2022/04/09 16:19,0,10
2022/04/09 16:20,0,12
2022/04/09 16:20,0,15
2022/04/09 16:21,0,16
2022/04/09 16:21,0,15
2022/04/09 16:21,0,9
2022/04/09 16:22,0,16
2022/04/09 16:22,0,12
2022/04/09 16:23,0,11
2022/04/09 16:23,0,15
2022/04/09 16:24,0,13
2022/04/09 16:25,0,12
2022/04/09 16:28,0,11
2022/04/09 16:29,0,14
2022/04/09 16:29,0,10
2022/04/09 16:33,0,10
2022/04/09 16:33,0,9
2022/04/09 16:34,0,9
2022/04/09 16:35,0,14
2022/04/09 16:36,0,11
2022/04/09 16:38,0,15
2022/04/09 16:41,0,12
2022/04/09 16:42,0,11
2022/04/09 16:44,0,11
2022/04/09 16:44,0,14
2022/04/09 16:44,0,9
2022/04/09 16:45,0,11
2022/04/09 16:45,0,11
2022/04/09 16:46,0,11
2022/04/09 16:48,0,12
2022/04/09 16:50,0,9
2022/04/09 16:50,0,9
2022/04/09 16:50,0,16
