time,event,bandwidth
2022/04/09 00:00,0,10
2022/04/09 00:01,0,11
2022/04/09 00:01,0,12
2022/04/09 00:01,0,9
2022/04/09 00:02,0,10
2022/04/09 00:02,0,11
2022/04/09 00:03,0,10
2022/04/09 00:03,0,14
2022/04/09 00:03,0,9
2022/04/09 00:03,0,10
2022/04/09 00:03,0,12
2022/04/09 00:04,0,10
2022/04/09 00:05,0,10
2022/04/09 00:05,0,10
2022/04/09 00:06,0,12
2022/04/09 00:06,0,9
2022/04/09 00:06,0,12
2022/04/09 00:07,0,17
2022/04/09 00:08,0,9
2022/04/09 00:08,0,11
2022/04/09 00:09,0,13
2022/04/09 00:09,0,10
2022/04/09 00:10,0,9
2022/04/09 00:11,0,10
2022/04/09 00:11,0,13
2022/04/09 00:12,0,12
2022/04/09 00:12,0,12
2022/04/09 00:12,0,16
2022/04/09 00:12,0,17
2022/04/09 00:13,0,9
2022/04/09 00:13,0,12
2022/04/09 00:13,0,16
2022/04/09 00:13,0,16
2022/04/09 00:13,0,13
2022/04/09 00:14,0,11
2022/04/09 00:14,0,9
2022/04/09 00:15,0,12
2022/04/09 00:15,0,13
2022/04/09 00:16,0,13
2022/04/09 00:16,0,12
2022/04/09 00:17,0,9
2022/04/09 00:17,0,12
2022/04/09 00:17,0,12
2022/04/09 00:17,0,11
2022/04/09 00:18,0,15
2022/04/09 00:18,0,10
2022/04/09 00:19,0,12
2022/04/09 00:19,0,14
2022/04/09 00:19,0,9
2022/04/09 00:19,0,12
2022/04/09 00:19,0,12
2022/04/09 00:20,0,17
2022/04/09 00:22,0,12
2022/04/09 00:23,0,13
2022/04/09 00:23,0,13
2022/04/09 00:23,0,12
2022/04/09 00:23,0,17
2022/04/09 00:24,0,12
2022/04/09 00:24,0,12
2022/04/09 00:25,0,9
2022/04/09 00:25,0,17
2022/04/09 00:26,0,9
2022/04/09 00:26,0,17
2022/04/09 00:26,0,9
2022/04/09 00:26,0,14
2022/04/09 00:26,0,12
2022/04/09 00:26,0,14
2022/04/09 00:27,0,13
2022/04/09 00:27,0,10
2022/04/09 00:27,0,11
2022/04/09 00:29,0,10
2022/04/09 00:29,0,13
2022/04/09 00:29,0,10
2022/04/09 00:30,0,13
2022/04/09 00:32,0,15
2022/04/09 00:33,0,10
2022/04/09 00:33,0,14
2022/04/09 00:33,0,12
2022/04/09 00:34,0,12
2022/04/09 00:35,0,13
2022/04/09 00:35,0,12
2022/04/09 00:36,0,10
2022/04/09 00:36,0,12
2022/04/09 00:36,0,9
2022/04/09 00:36,0,11
2022/04/09 00:37,0,10
2022/04/09 00:38,0,11
2022/04/09 00:38,0,10
2022/04/09 00:38,0,9
2022/04/09 00:39,0,12
2022/04/09 00:39,0,13
2022/04/09 00:39,0,10
2022/04/09 00:39,0,11
2022/04/09 00:40,0,10
2022/04/09 00:40,0,9
2022/04/09 00:40,0,16
